epoch,accuracy,loss,val_accuracy,val_loss
0,0.6185743808746338,0.9955881237983704,0.7733979821205139,0.5814357995986938
1,0.7862498760223389,0.4744897782802582,0.7911045551300049,0.5313811898231506
2,0.8152498006820679,0.4233909249305725,0.8214586973190308,0.4757656455039978
3,0.8330472707748413,0.3863159418106079,0.8294687867164612,0.4368072748184204
4,0.8437979817390442,0.3588922917842865,0.8446458578109741,0.42039281129837036
5,0.8656608462333679,0.3234253525733948,0.8682546615600586,0.37477928400039673
6,0.8813804388046265,0.28061679005622864,0.8665682673454285,0.3329285979270935
7,0.8888788223266602,0.26818913221359253,0.8855396509170532,0.3032348155975342
8,0.9128195643424988,0.22296738624572754,0.9182124733924866,0.2679447531700134
9,0.9234799742698669,0.18831293284893036,0.9281197190284729,0.22276440262794495
10,0.9350438117980957,0.16659720242023468,0.933178722858429,0.20756776630878448
11,0.9432649612426758,0.15124279260635376,0.9428752064704895,0.1814248412847519
12,0.9530219435691833,0.12474124133586884,0.9333895444869995,0.1781618297100067
13,0.9566356539726257,0.11229292303323746,0.9430860280990601,0.15773387253284454
14,0.9598879814147949,0.10707084089517593,0.9232714772224426,0.19369757175445557
15,0.9607914090156555,0.11210261285305023,0.9369730353355408,0.16842032968997955
16,0.9597073197364807,0.10711773484945297,0.9203203916549683,0.20471392571926117
17,0.9663022756576538,0.0854615718126297,0.9291737079620361,0.17300254106521606
18,0.9700966477394104,0.0824575200676918,0.9363406300544739,0.16035953164100647
19,0.9738007187843323,0.07057641446590424,0.9464586973190308,0.13499639928340912
20,0.9765110015869141,0.0600847527384758,0.9449831247329712,0.1380445510149002
21,0.9781371355056763,0.05360695719718933,0.9312816262245178,0.1584795117378235
22,0.9788599014282227,0.05997701734304428,0.9281197190284729,0.17991569638252258
23,0.9776854515075684,0.0583859384059906,0.9591062664985657,0.10329039394855499
24,0.9753365516662598,0.06442217528820038,0.9443507790565491,0.1372411549091339
25,0.9773240685462952,0.057133954018354416,0.9420320391654968,0.1455571949481964
26,0.9781371355056763,0.05550835281610489,0.9344435334205627,0.15596149861812592
27,0.982925295829773,0.04605839401483536,0.9359190464019775,0.15993502736091614
28,0.9826542735099792,0.041704270988702774,0.9553119540214539,0.11771285533905029
29,0.9849128127098083,0.04227396100759506,0.8861719965934753,0.2723678946495056
30,0.9819315075874329,0.04686061292886734,0.9420320391654968,0.1442645788192749
31,0.9861776232719421,0.0363566055893898,0.9647976160049438,0.0916169285774231
32,0.9892492294311523,0.03378591313958168,0.9449831247329712,0.1320466846227646
33,0.9883458018302917,0.03477863967418671,0.9622681140899658,0.09762033820152283
34,0.988255500793457,0.029257822781801224,0.9578414559364319,0.103594109416008
35,0.9883458018302917,0.0331311859190464,0.9673271775245667,0.08055801689624786
